,0,1,2
0,嗨嗨baby的小仙女,哥哥r9有这么好用的么哈哈哈,24分钟前 来自网页    
1,一路守护王俊凯,日常表白[飞吻]，晚安了,26分钟前 来自网页    
2,爱王俊凯的胖蟹,好听,27分钟前 来自青铜球迷    
3,蓝另一种蓝C,最后几分钟了 我想和你说 二十岁的我会更认真地喜欢你 会努力去看你的生日会演唱会 不会因为内心那点可笑的胆怯再退缩 为了你 我会更勇敢 为了我自己 我也会更勇敢 我要努力去做到我敢想的事情 去实现年轻的自己的愿望 用最澄澈最真挚的感情去喜欢你 去守护你 我喜欢你呀王俊凯 我最喜欢你了 晚安[心],33分钟前 来自网页    
4,Crabkkkkk,[心][心],38分钟前 来自网页    
5,有梦想的阿敏T,这转发量有点吓人呀？！？！？！,38分钟前 来自网页    
6,Crabkkkkk,小凯，晚安好梦,38分钟前 来自网页    
7,放弃不难坚持一定很酷,晚安咯宝贝,43分钟前 来自网页    
8,特别的怪阿姨,歌手王俊凯等你的新专辑呢,44分钟前 来自网页    
9,WJKM-梦,晚安！,47分钟前 来自网页    
10,华丽冒险5858575878888,回复,49分钟前 来自网页    
11,诚-信-卖-粉,我做事通常很与众不同，我特别讨厌毫无保留的抄袭和没有独立思想的人。所以，在我的眼中，吸好友就是吸引那种不是微商的伙伴，而且大部分都是女性消费群体，每个人都是一个个搜我的微信号去加的，这才叫做吸粉。近日，我试了我的一个自己研究出来的方案，23:14分开始操作，18323461269,50分钟前 来自网页    
12,诚-信-卖-粉,我做事通常很与众不同，我特别讨厌没有独立思想的人。所以，在我的眼中，吸好友就是吸引那种不是微商的伙伴，而且大部分都是女性消费群体，每个人都是一个个搜我的微信号去加的，这才叫做吸粉。近日，我试了我的一个自己研究出来的方案，23:14分开始操作，18323461269,52分钟前 来自网页    
13,诚-信-卖-粉,我做事通常很与众不同，我特别讨厌毫无保留的抄袭和没有独立思想的人。所以，在我的眼中，吸好友就是吸引那种不是微商的伙伴，而且大部分都是女性消费群体，每个人都是一个个搜我的微信号去加的，这才叫做吸粉。近日，我试了我的一个自己研究出来的方4分开始操作，18323461269,52分钟前 来自网页    
14,诚-信-卖-粉,我做事通常很与众不同，我特别讨厌毫无保留的抄袭和没有独立思想的人。所以，在我的眼中，吸好友就是吸引那种不是微商的伙伴，而且大部分都是女性消费群体，每个人都是一个个搜我的的，这才叫做吸粉。近日，我试了我的一个自己研究出来的方案，23:14分开始操作，18323461269,53分钟前 来自网页    
15,kupu199901,晚安[月亮][月亮][月亮],54分钟前 来自网页    
16,诚-信-卖-粉,我做事通常很与众不同，我特别讨厌毫无保留的抄袭和没有独立思想的人。所以，在我的眼中，吸好友就是吸引那种不是微商的伙伴，而且大部分都是女性消费群体，每个人都是一个个搜我的微信号去加的，这才叫做吸粉。近日，我试了我的一个自己研究出来的方案，23:14分开始操作，18323461269,54分钟前 来自网页    
17,秋秋_Hyacinth,晚安[心],57分钟前 来自网页    
18,865天的小方方,晚安，好梦(｡･ω･｡)ﾉ♡,58分钟前 来自网页    
19,努力生活的镜花花,晚安小凯,06月18日 23:29 来自网页    
20,韩翠乐你要不停向前走,小凯你发微博不啦？？？？？阳澄湖等着不敢睡觉呐。好好照顾自己哟要天天开心记得喝奶长高多喝水多吃饭多吃肉啊，对啦你的手上记得搽药~,06月18日 23:27 来自网页    
21,小凯的模Young,亲爱的小凯，晚安。,06月18日 23:26 来自网页    
22,诚-信-卖-粉,我做事通常很与众不同，我特别讨厌毫无保留的抄袭和没有独立思想的人。所以，在我的眼中，吸好友就是吸引那种不是微商的伙伴，而且大部分都是女性消费群体，每个人都是一个个搜我的微信号去加的，这才叫做吸粉。近日，我试了我的一个自己研究出来的方案，23:14分开始操作，就已经吸了1500多粉丝，准确,06月18日 23:22 来自网页    
23,用户6557539199,转发微博,06月18日 23:18 来自网页    
24,呀我的裤子又变瘦了,晚安[爱你][爱你][爱你],06月18日 23:18 来自网页    
25,用户6557536975,转发微博,06月18日 23:14 来自网页    
26,乖乖星球,晚安啦宝宝[中国赞][哈哈][好喜欢],06月18日 23:08 来自网页    
27,用户6570111630,爱你一直在，小凯,06月18日 23:08 来自网页    
28,用户6554894827幸福的微笑,很好听!加油!,06月18日 23:07 来自网页    
29,小凯娇妻哦,回复,06月18日 23:05 来自网页    
30,用户6557997410,转发微博,06月18日 23:05 来自网页    
31,k的小甜心,晚安,06月18日 23:03 来自网页    
32,王俊凯的大闸蟹9-21,宝宝，麻麻是等不到你的端午福利了[允悲][允悲],06月18日 23:02 来自网页    
33,用户6557996726,转发微博,06月18日 23:00 来自网页    
34,麦克仙女雯001,想你想你,06月18日 22:59 来自网页    
35,游寻寻,明天又要开始充满挑战的日子，虽然会害怕，但是有你给我的勇气，我一定奋力向前，一起携手共进，爱你如初，晚安,06月18日 22:59 来自网页    
36,用户6557535198,转发微博,06月18日 22:56 来自网页    
37,karroy-甜甜蜜蜜, 小凯源源，晚上好！两位小朋友今天有没有吃粽子呢~我们王源小朋友今天终于回重庆了啊！很开心吧！这座城早就想你们了，不知道我们小凯同学什么时候可以回家看看~,06月18日 22:53 来自网页    
38,笛声那个悠扬,akwa,06月18日 22:51 来自网页    
39,爱螃蟹的赵大刀,爱你,06月18日 22:51 来自网页    
40,爱螃蟹的赵大刀,[心][心][心][心][心][心][心][心][心][心][心][心],06月18日 22:51 来自网页    
41,白洛衡,懵懵懂懂的活下去！我不想这样！小凯我一定可以的！我会见到你！不期而遇的温暖！我会加油的！我爱你！,06月18日 22:50 来自网页    
42,小雨初霁67671,回复,06月18日 22:49 来自网页    
43,用户6557996536,转发微博,06月18日 22:48 来自网页    
44,静好静好静好921,嘻嘻~ 小凯[抱抱][抱抱],06月18日 22:47 来自网页    
45,921FIGHTING从未停止,明天满课了 哇哈哈 加油[耶],06月18日 22:46 来自网页    
46,用户6557996438,转发微博,06月18日 22:45 来自网页    
47,橘子树上iaoin,晚安，早点休息[月亮],06月18日 22:45 来自网页    
48,默公子K,小女子不才 没能与公子谈笑风声 所有倾慕之意 皆在一个晚安之中,06月18日 22:40 来自网页    
49,再大的风雨也陪你们kang,很好听，很走心,06月18日 22:38 来自网页    
50,kai092114,端午安康,06月18日 22:36 来自网页    
51,kai092114,小凯晚安,06月18日 22:35 来自网页    
52,Susie__girl,晚安[心],06月18日 22:33 来自网页    
53,YUAN袁啊,晚安,06月18日 22:32 来自网页    
54,中2少女就是我,端午快乐,06月18日 22:28 来自网页    
55,我98k呢的微博,[惊恐]惊悚,06月18日 22:27 来自网页    
56,Wqwflipped,晚安～,06月18日 22:26 来自网页    
57,流年不过浅夏,凯凯你为什么还不发微博,06月18日 22:24 来自网页    
58,秋曦城,好听,06月18日 22:20 来自网页    
59,森林小王纸,小凯 晚安,06月18日 22:16 来自网页    
60,盗梦者47611,  大哥晚安[心],06月18日 22:15 来自网页    
61,隔板三号,晚安,06月18日 22:15 来自网页    
62,爱生活爱美食呀,晚安[飞吻],06月18日 22:11 来自网页    
63,kjwrry,晚安[月亮][心],06月18日 22:11 来自网页    
64,YMY__橙海,端午安康！,06月18日 22:08 来自网页    
65,林小落与凯小喵,晚安宝宝，祝宝宝端午安康，乖乖吃饭好好休息，爱你宝宝[爱你][爱你][爱你][月亮][月亮][月亮],06月18日 22:07 来自网页    
66,karry最初的心,  大哥晚安[心],06月18日 22:07 来自网页    
67,那样Warm,好好照顾自己[爱你]晚安,06月18日 22:06 来自网页    
68,gogo凝净,今天被气到怀疑人生,06月18日 22:05 来自网页    
69,cite_24911,转发微博,06月18日 21:56 来自网页    
70,我要隐形当女神,[微笑],06月18日 21:55 来自网页    
71,隔板三号,晚上好 小凯,06月18日 21:52 来自网页    
72,隔板二号,安[爱心]️,06月18日 21:49 来自网页    
73,就是jk的迷妹i,转发微博,06月18日 21:48 来自网页    
74,隔板二号,晚安啦,06月18日 21:44 来自网页    
75,托马斯的荷兰猪,晚安[爱你],06月18日 21:40 来自网页    
76,李静静99,特别好听,06月18日 21:39 来自网页    
77,千夏风凯66262,转发微博,06月18日 21:38 来自网页    
78,用户6504313682细雨中飘的雪,[蓝心][蓝心][蓝心],06月18日 21:34 来自网页    
79,树读冰冰,[祈祷][祈祷][祈祷]wmqg,06月18日 21:32 来自网页    
80,张玮婷998,凯凯，我被骗了，好绝望[泪][泪][泪][泪],06月18日 21:29 来自网页    
81,冰岛的星辰大海,爱你,06月18日 21:22 来自网页    
82,团酱姐姐, 俊俊这是和你一起过的第四个粽子节了[爱你]节日快乐[蓝心],06月18日 21:17 来自网页    
83,凯不离蟹不弃-921胖K,小凯真棒，我们会一直陪着你的[心],06月18日 21:05 来自网页    
84,姐一个字拽,端午安康,06月18日 21:01 来自网页    
85,隔板二号,晚上好 小凯,06月18日 20:48 来自网页    
86,蓝莓味儿的小螃蟹吖,要好好的  爱你[爱心]️,06月18日 20:44 来自网页    
87,眸笑风轻,小凯，端午节快乐,06月18日 20:39 来自网页    
88,蹦蹦蹦boy, 我最爱的人端午快乐昂[爱你]记得吃粽子呀爱你[爱心],06月18日 20:38 来自网页    
89,凉笙墨染200207,好听，好听，好听，重要的事说三遍,06月18日 20:32 来自网页    
90,凯之默恋,[鼓掌][鼓掌],06月18日 20:25 来自网页    
91,用户6547269659,有点难听[可爱]但还是有点点点点点点点点点点点点点好听,06月18日 20:17 来自网页    
92,幸运的自己,转发微博,06月18日 20:15 来自网页    
93,蓝海-梅子,端午节快乐,06月18日 20:13 来自网页    
94,追击敌方阿轲,超爱你,06月18日 20:07 来自网页    
95,追击敌方阿轲,哥你是最棒的,06月18日 20:06 来自网页    
96,追击敌方阿轲,哥你怎么这么炫酷,06月18日 20:06 来自网页    
97,追击敌方阿轲,好喜欢哥,06月18日 20:06 来自网页    
98,King-Shan山,今天溜达路过必胜客门里面有一个你的立牌 于是我就鼓起了勇气进去(因为我是一个人，所以不好意思)小姐姐问我一个人吗我说嗯她问我点什么我拿着菜单翻当时想点个冰淇淋但没翻到我就问小姐姐 小姐姐说19元就两个球还不如去肯德基买 没想到小姐姐人这么好不知道她是不是猜出来我不是来吃东西，出来拍了你 ,06月18日 20:06 来自网页    
99,暖暖爱乖,  我喜欢你,06月18日 20:03 来自网页    
100,暖暖爱乖,小哥哥，你成功的撩到我了,06月18日 20:03 来自网页    
101,暖暖爱乖,树读,06月18日 20:02 来自网页    
102,暖暖爱乖,我爱你,06月18日 20:02 来自网页    
103,暖暖爱乖,王俊凯,06月18日 20:02 来自网页    
104,暖暖爱乖,他往上，想明白哪阳光,06月18日 20:02 来自网页    
105,快复制粘贴王俊凯,圆梦一代王俊凯[爱你],06月18日 19:59 来自网页    
106,双翼的天使不孤独52348,你最好,06月18日 19:58 来自网页    
107,纯真的我爱你51020,小凯怎么还不更新微博呀！,06月18日 19:51 来自网页    
108,fhfdgghj,大哥棒棒哒大哥 棒棒哒,06月18日 19:45 来自网页    
109,俊喵奶蟹,[抱抱],06月18日 19:38 来自网页    
110,俊喵奶蟹,[心],06月18日 19:38 来自网页    
111,小孩纸媛媛,我想去看你们的演唱会 我想见到喜欢了四年的你们 我想现在努力 我想花更多时间为了未来着想 我想成为更好的自己 最后我想一直喜欢TFBOYS[黄心],06月18日 19:37 来自网页    
112,宋安笙,超级喜欢,06月18日 19:37 来自网页    
113,宋安笙,我喜欢你♡,06月18日 19:36 来自网页    
114,一路守护王俊凯,日常表白,06月18日 19:28 来自网页    
115,一路守护王俊凯,王俊凯，端午节快乐[微笑]，爱你每一天,06月18日 19:27 来自网页    
116,邬童树下, ,06月18日 19:24 来自网页    
117,陈三土的的中二病,转发微博,06月18日 19:24 来自网页    
118,用户6106100668,啦啦啦啊啊啊吧,06月18日 19:20 来自网页    
119,Dream-蔡慧霞,哇哈哈哈，轉發量這麽多,06月18日 19:20 来自网页    
120,lmy快乐人生,王俊凯王俊凯王俊凯王俊凯王俊凯王俊凯王俊凯,06月18日 19:01 来自网页    
121,邱大琪专属,很好听,06月18日 18:58 来自网页    
122,每天都喜欢小俊,我也要像大树一样。才能保护我的小朋友[心],06月18日 18:53 来自网页    
123,每天都喜欢小俊,周末见,06月18日 18:52 来自网页    
124,Evak--Karry,转发微博,06月18日 18:42 来自网页    
125,一只酷酷的远儿,很优秀的少年,06月18日 18:40 来自网页    
126,甜啵女朋友,下午好,06月18日 18:38 来自网页    
127,喜欢吃番茄酱的胖蟹,太好听了[可怜][可怜],06月18日 18:30 来自网页    
128,俊凯煮螃蟹,端午安康,06月18日 18:27 来自网页    
129,庚深月,端午安康,06月18日 18:13 来自网页    
130,烟花三月98k,好听,06月18日 18:12 来自网页    
131,升空的红气球它是蓝的,端午节快乐,06月18日 18:07 来自网页    
